iter	Passed	Remaining
0	0	62
1	1	59
2	1	55
3	2	51
4	2	50
5	3	49
6	3	48
7	4	47
8	4	47
9	5	46
10	5	45
11	6	45
12	6	44
13	7	44
14	7	43
15	8	42
16	8	42
17	9	41
18	9	41
19	10	40
20	10	40
21	11	39
22	11	39
23	12	38
24	12	37
25	13	37
26	13	37
27	14	36
28	14	36
29	15	35
30	15	35
31	16	34
32	16	34
33	17	33
34	17	33
35	18	32
36	18	32
37	19	31
38	19	31
39	20	30
40	20	30
41	21	29
42	21	28
43	22	28
44	22	27
45	23	27
46	23	26
47	24	26
48	24	25
49	25	25
50	25	24
51	26	24
52	26	23
53	27	23
54	28	23
55	28	22
56	29	22
57	30	21
58	30	21
59	31	21
60	32	20
61	32	20
62	33	19
63	34	19
64	34	18
65	35	18
66	35	17
67	36	17
68	36	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	13
74	40	13
75	40	12
76	41	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	48	5
89	49	5
90	49	4
91	50	4
92	50	3
93	51	3
94	51	2
95	52	2
96	52	1
97	53	1
98	54	0
99	54	0
